model,correction,semantic_similarity
gemini/gemini-pro,backcheck,0.9574711607999999
gemini/gemini-pro,baseline,0.5917621912
gemini/gemini-pro,voting,0.6386796625
groq/llama3-70b,backcheck,0.9574711607999999
groq/llama3-70b,baseline,0.5951602616999999
groq/llama3-70b,voting,0.615481202
huggingface/meta-llama/Llama-2-7b-chat-hf,backcheck,0.9574711607999999
huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5647761285
huggingface/meta-llama/Llama-2-7b-chat-hf,voting,0.5151997575
huggingface/tiiuae/falcon-7b-instruct,backcheck,0.9574711607999999
huggingface/tiiuae/falcon-7b-instruct,baseline,0.5653552558
huggingface/tiiuae/falcon-7b-instruct,voting,0.5964956454
lambda/lambda-llama2-13b,backcheck,0.9574711607999999
lambda/lambda-llama2-13b,baseline,0.5514321374
lambda/lambda-llama2-13b,voting,0.5750089176000001
mistral/mistral-medium,backcheck,0.9574711607999999
mistral/mistral-medium,baseline,0.6202755299
mistral/mistral-medium,voting,0.64981392
mistral/mistral-small,backcheck,0.9574711607999999
mistral/mistral-small,baseline,0.6249742357
mistral/mistral-small,voting,0.6635545707
openai/gpt-3.5-turbo,backcheck,0.9574711607999999
openai/gpt-3.5-turbo,baseline,0.5641355636000001
openai/gpt-3.5-turbo,voting,0.6145679605000001
openai/gpt-4,backcheck,0.9574711607999999
openai/gpt-4,baseline,0.5509560349
openai/gpt-4,voting,0.6038880107
openai/gpt-4o,backcheck,0.9574711607999999
openai/gpt-4o,baseline,0.5661379197
openai/gpt-4o,voting,0.6089702211
