task,model,correction,semantic_similarity
storytelling,openai/gpt-3.5-turbo,baseline,0.449675
storytelling,openai/gpt-3.5-turbo,baseline,0.4504621
storytelling,openai/gpt-3.5-turbo,baseline,0.5334815
storytelling,openai/gpt-3.5-turbo,baseline,0.73221684
storytelling,openai/gpt-3.5-turbo,baseline,0.5296123
storytelling,openai/gpt-3.5-turbo,baseline,0.42051286
storytelling,openai/gpt-3.5-turbo,baseline,0.5914072
storytelling,openai/gpt-3.5-turbo,baseline,0.4953633
storytelling,openai/gpt-3.5-turbo,baseline,0.60020727
storytelling,openai/gpt-3.5-turbo,baseline,0.4496994
storytelling,openai/gpt-3.5-turbo,baseline,0.30288744
storytelling,openai/gpt-3.5-turbo,baseline,0.5839598
storytelling,openai/gpt-3.5-turbo,baseline,0.3590775
storytelling,openai/gpt-3.5-turbo,baseline,0.53482795
storytelling,openai/gpt-3.5-turbo,baseline,0.6551133
storytelling,openai/gpt-3.5-turbo,baseline,0.50610197
storytelling,openai/gpt-3.5-turbo,baseline,0.5579115
storytelling,openai/gpt-3.5-turbo,baseline,0.29871133
storytelling,openai/gpt-3.5-turbo,baseline,0.589838
storytelling,openai/gpt-3.5-turbo,baseline,0.67020977
storytelling,openai/gpt-3.5-turbo,baseline,0.40730932
storytelling,openai/gpt-3.5-turbo,baseline,0.60990024
storytelling,openai/gpt-3.5-turbo,baseline,0.5698204
storytelling,openai/gpt-3.5-turbo,baseline,0.55422705
storytelling,openai/gpt-3.5-turbo,baseline,0.3375821
storytelling,openai/gpt-3.5-turbo,baseline,0.43302315
storytelling,openai/gpt-3.5-turbo,baseline,0.48265094
storytelling,openai/gpt-3.5-turbo,baseline,0.5335562
storytelling,openai/gpt-3.5-turbo,baseline,0.5715163
storytelling,openai/gpt-3.5-turbo,baseline,0.5680852
storytelling,openai/gpt-3.5-turbo,baseline,0.48900035
storytelling,openai/gpt-3.5-turbo,baseline,0.5352914
storytelling,openai/gpt-3.5-turbo,baseline,0.38686973
storytelling,openai/gpt-3.5-turbo,baseline,0.5053704
storytelling,openai/gpt-4,baseline,0.43690905
storytelling,openai/gpt-4,baseline,0.43645293
storytelling,openai/gpt-4,baseline,0.49682593
storytelling,openai/gpt-4,baseline,0.7214228
storytelling,openai/gpt-4,baseline,0.5475243
storytelling,openai/gpt-4,baseline,0.44438368
storytelling,openai/gpt-4,baseline,0.5897491
storytelling,openai/gpt-4,baseline,0.47528166
storytelling,openai/gpt-4,baseline,0.58602
storytelling,openai/gpt-4,baseline,0.47601146
storytelling,openai/gpt-4,baseline,0.28380853
storytelling,openai/gpt-4,baseline,0.5671961
storytelling,openai/gpt-4,baseline,0.37346774
storytelling,openai/gpt-4,baseline,0.5086077
storytelling,openai/gpt-4,baseline,0.6288501
storytelling,openai/gpt-4,baseline,0.4738765
storytelling,openai/gpt-4,baseline,0.57845765
storytelling,openai/gpt-4,baseline,0.34800357
storytelling,openai/gpt-4,baseline,0.5564823
storytelling,openai/gpt-4,baseline,0.6220469
storytelling,openai/gpt-4,baseline,0.42892146
storytelling,openai/gpt-4,baseline,0.5710908
storytelling,openai/gpt-4,baseline,0.57876384
storytelling,openai/gpt-4,baseline,0.60817146
storytelling,openai/gpt-4,baseline,0.37310934
storytelling,openai/gpt-4,baseline,0.4058306
storytelling,openai/gpt-4,baseline,0.4824347
storytelling,openai/gpt-4,baseline,0.5213231
storytelling,openai/gpt-4,baseline,0.5400535
storytelling,openai/gpt-4,baseline,0.5531963
storytelling,openai/gpt-4,baseline,0.446091
storytelling,openai/gpt-4,baseline,0.5370243
storytelling,openai/gpt-4,baseline,0.45336917
storytelling,openai/gpt-4,baseline,0.54030824
storytelling,openai/gpt-4o,baseline,0.45082656
storytelling,openai/gpt-4o,baseline,0.4556315
storytelling,openai/gpt-4o,baseline,0.5180158
storytelling,openai/gpt-4o,baseline,0.73512346
storytelling,openai/gpt-4o,baseline,0.5621988
storytelling,openai/gpt-4o,baseline,0.45335102
storytelling,openai/gpt-4o,baseline,0.6064426
storytelling,openai/gpt-4o,baseline,0.48921922
storytelling,openai/gpt-4o,baseline,0.58940315
storytelling,openai/gpt-4o,baseline,0.48644102
storytelling,openai/gpt-4o,baseline,0.30319393
storytelling,openai/gpt-4o,baseline,0.58935934
storytelling,openai/gpt-4o,baseline,0.4050934
storytelling,openai/gpt-4o,baseline,0.5172301
storytelling,openai/gpt-4o,baseline,0.6537349
storytelling,openai/gpt-4o,baseline,0.49660575
storytelling,openai/gpt-4o,baseline,0.59602904
storytelling,openai/gpt-4o,baseline,0.37362
storytelling,openai/gpt-4o,baseline,0.5738518
storytelling,openai/gpt-4o,baseline,0.6427048
storytelling,openai/gpt-4o,baseline,0.4685106
storytelling,openai/gpt-4o,baseline,0.5811172
storytelling,openai/gpt-4o,baseline,0.59256923
storytelling,openai/gpt-4o,baseline,0.61882085
storytelling,openai/gpt-4o,baseline,0.39396346
storytelling,openai/gpt-4o,baseline,0.4322547
storytelling,openai/gpt-4o,baseline,0.5016086
storytelling,openai/gpt-4o,baseline,0.5271493
storytelling,openai/gpt-4o,baseline,0.552888
storytelling,openai/gpt-4o,baseline,0.56333625
storytelling,openai/gpt-4o,baseline,0.4869752
storytelling,openai/gpt-4o,baseline,0.5522589
storytelling,openai/gpt-4o,baseline,0.45662612
storytelling,openai/gpt-4o,baseline,0.5528363
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5153235
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.53134924
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.56003666
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.7013616
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.5922694
storytelling,huggingface/meta-llama/Llama-2-7b-chat-hf,baseline,0.41451815
